Sample,Thickness
FR01MI02a,44.59941788
FR01MI02b,44.59941788
FR01MI02c,44.59941788
FR01MI03a,58.7480137
FR01MI03b,58.7480137
FR01MI03c,58.7480137
FR01MI04a,53.38962184
FR01MI04b,53.38962184
FR01MI04c,53.38962184
FR02MI01a,53.83154332
FR02MI01b,53.83154332
FR02MI01c,53.83154332
FR02MI02a,55.25869311
FR02MI02b,55.25869311
FR02MI02c,55.25869311
FR02MI03a,26.22104123
FR02MI03b,26.22104123
FR02MI03c,26.22104123
FR02MI04a,47.79190478
FR02MI04b,47.79190478
FR02MI04c,47.79190478
FR02MI05a,39.21293333
FR02MI05b,39.21293333
FR02MI05c,39.21293333
FR02MI05d,39.21293333
FR02MI06a,48.33574325
FR02MI06b,48.33574325
FR02MI06c,48.33574325
FR02MI07a,52.08398276
FR02MI07b,52.08398276
FR02MI07c,52.08398276
FR02MI08a,39.73613538
FR02MI08b,39.73613538
FR02MI08c,39.73613538
FR02MI09a,55.29824978
FR02MI09b,55.29824978
FR02MI09c,55.29824978
FR02MI10a,45.41625058
FR02MI10b,45.41625058
FR02MI10c,45.41625058
FR04MI01a,48.11878887
FR04MI01b,48.11878887
FR04MI01c,48.11878887
FR04MI02a,48.24248902
FR04MI02b,48.24248902
FR04MI02c,48.24248902
FR04MI03a,43.56209947
FR04MI03b,43.56209947
FR04MI03c,43.56209947
FR04MI04a,41
FR04MI04b,41
FR04MI04c,41
FR04MI05a,31.87054452
FR04MI05b,31.87054452
FR04MI05c,31.87054452
FR04MI07a,46
FR04MI07b,46
FR04MI07c,46
FR04MI08a,37.4408094
FR04MI08b,37.4408094
FR04MI08c,37.4408094
FR04MI08d,37.4408094
FR06MI01a,47.38909195
FR06MI01b,47.38909195
FR06MI01c,47.38909195
FR06MI02a,40.44989387
FR06MI02b,40.44989387
FR06MI02c,40.44989387
FR06MI03a,10
FR06MI03b,10
FR06MI03c,10
FR06MI04a,49.76340965
FR06MI04b,49.76340965
FR06MI04c,49.76340965
FR06MI05a,28.73429655
FR06MI05b,28.73429655
FR06MI05c,28.73429655
FR06MI06a,21.57193936
FR06MI06b,21.57193936
FR06MI06c,21.57193936
FR06MI07a,25.92225075
FR06MI07b,25.92225075
FR06MI07c,25.92225075
FR06MI08a,37.04529824
FR06MI08b,37.04529824
FR06MI08c,37.04529824
CL05MI01a,102.7376784
CL05MI01b,102.7376784
CL05MI01c,102.7376784
CL05MI02a,71.8696021
CL05MI02b,71.8696021
CL05MI02c,71.8696021
CL05MI05a,60.46096991
CL05MI05b,60.46096991
CL05MI05c,60.46096991
FI45MI02a,58.50969267
FI45MI02b,58.50969267
FI45MI02c,58.50969267
FI45MI08a,76.19223166
FI45MI08b,76.19223166
FI45MI10a,90.7
FI45MI10b,90.7
SH01MI02a,63
SH01MI02b,63
SH01MI02c,63
SH01MI02d,63
SR1MI01a,102.1225728
SR1MI01b,102.1225728
SR02MI01a,143.143644
SR02MI01b,143.143644
SR02MI01c,143.143644
SR3MI01a,47.66991379
SR3MI01b,47.66991379
SR10MI02a,60.89141964
SR10MI02b,60.89141964
SR10MI02c,60.89141964
SR10MI03a,73.41952231
SR10MI03b,73.41952231
SR10MI03c,73.41952231
SR10MI05a,64.23488093
SR10MI05b,64.23488093
SR10MI05c,64.23488093
SR10MI11a,68.65195168
SR10MI11b,68.65195168
SR10MI11c,68.65195168
WD12MI01a,67.57963887
WD12MI01b,67.57963887
WD12MI01c,67.57963887
WD23MI03Aa,136.8582269
WD23MI03Ab,136.8582269
WD23MI03Ac,136.8582269
WD23MI04a,68.66666667
WD23MI04b,68.66666667
WD23MI04c,68.66666667
WD23MI04d,68.66666667
WD32MI02a,73.74700407
WD32MI02b,73.74700407
WD32MI02c,73.74700407
WD32MI04a,61.25743621
WD32MI04b,61.25743621
WD32MI04c,61.25743621
WD33MI05a,125.8446491
WD33MI05b,125.8446491
WD33MI05c,125.8446491
WD71AMI01a,81.29521024
WD71AMI01b,81.29521024
WD71AMI01c,81.29521024
WD71AMI01d,81.29521024