Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness
ND70_02_01_06032022_150x150_sp1,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08,119.5
ND70_02_01_06032022_150x150_sp2,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08,119.5
ND70_02_01_06032022_150x150_sp3,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08,119.5
ND70_03_01_06032022_150x150_sp1,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08,112.25
ND70_03_01_06032022_150x150_sp2,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08,112.25
ND70_03_01_06032022_150x150_sp3,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08,112.25
ND70_04_02_06032022_150x150_sp1,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07,115.2
ND70_04_02_06032022_150x150_sp2,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07,115.2
ND70_04_02_06032022_150x150_sp3,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07,115.2
ND70_05_02_06032022_150x150_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,151.5
ND70_05_02_06032022_150x150_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,151.5
ND70_05_02_06032022_150x150_sp3,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,151.5
ND70_05_03_06032022_150x50_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,58.5
ND70_05_03_06032022_200x50_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,58.5
ND70_05_03_06032022_80x100_sp3,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07,58.5
ND70_degassed_06032022_150x150_sp1,49.71,0.8,16.13,,8.28,0.14,8.72,13.03,2.22,0.16,0.09,140.5
ND70_degassed_06032022_150x150_sp2,49.71,0.8,16.13,,8.28,0.14,8.72,13.03,2.22,0.16,0.09,140.5
Villa_P2_150x150_06032022_sp1,50.60234667,1.29324475,15.41601917,,9.149666083,0.15772275,5.412248417,8.547718833,3.100762583,0.751110583,0.281766167,66.5
Villa_P2_150x150_06032022_sp2,50.60234667,1.29324475,15.41601917,,9.149666083,0.15772275,5.412248417,8.547718833,3.100762583,0.751110583,0.281766167,66.5
Villa_P2_150x150_06032022_sp3,50.60234667,1.29324475,15.41601917,,9.149666083,0.15772275,5.412248417,8.547718833,3.100762583,0.751110583,0.281766167,66.5